Day,Hour of Day,Hourly Total,Daily Total,Unit of Measurement
11/17/2024,12:00 AM,0.658,19.437,kWh
11/17/2024,1:00 AM,0.609,19.437,kWh
11/17/2024,2:00 AM,0.566,19.437,kWh
11/17/2024,3:00 AM,0.705,19.437,kWh
11/17/2024,4:00 AM,0.656,19.437,kWh
11/17/2024,5:00 AM,0.656,19.437,kWh
11/17/2024,6:00 AM,0.661,19.437,kWh
11/17/2024,7:00 AM,0.629,19.437,kWh
11/17/2024,8:00 AM,1.321,19.437,kWh
11/17/2024,9:00 AM,1.244,19.437,kWh
11/17/2024,10:00 AM,0.517,19.437,kWh
11/17/2024,11:00 AM,0.588,19.437,kWh
11/17/2024,12:00 PM,0.541,19.437,kWh
11/17/2024,1:00 PM,0.541,19.437,kWh
11/17/2024,2:00 PM,0.8,19.437,kWh
11/17/2024,3:00 PM,0.588,19.437,kWh
11/17/2024,4:00 PM,0.669,19.437,kWh
11/17/2024,5:00 PM,1.728,19.437,kWh
11/17/2024,6:00 PM,2.85,19.437,kWh
11/17/2024,7:00 PM,0.889,19.437,kWh
11/17/2024,8:00 PM,0.451,19.437,kWh
11/17/2024,9:00 PM,0.628,19.437,kWh
11/17/2024,10:00 PM,0.501,19.437,kWh
11/17/2024,11:00 PM,0.441,19.437,kWh
11/18/2024,12:00 AM,0.65,15.89,kWh
11/18/2024,1:00 AM,0.433,15.89,kWh
11/18/2024,2:00 AM,0.67,15.89,kWh
11/18/2024,3:00 AM,0.498,15.89,kWh
11/18/2024,4:00 AM,0.654,15.89,kWh
11/18/2024,5:00 AM,0.432,15.89,kWh
11/18/2024,6:00 AM,0.794,15.89,kWh
11/18/2024,7:00 AM,0.567,15.89,kWh
11/18/2024,8:00 AM,0.906,15.89,kWh
11/18/2024,9:00 AM,0.676,15.89,kWh
11/18/2024,10:00 AM,0.52,15.89,kWh
11/18/2024,11:00 AM,0.504,15.89,kWh
11/18/2024,12:00 PM,0.509,15.89,kWh
11/18/2024,1:00 PM,0.426,15.89,kWh
11/18/2024,2:00 PM,0.448,15.89,kWh
11/18/2024,3:00 PM,0.483,15.89,kWh
11/18/2024,4:00 PM,0.585,15.89,kWh
11/18/2024,5:00 PM,1.564,15.89,kWh
11/18/2024,6:00 PM,1.95,15.89,kWh
11/18/2024,7:00 PM,0.517,15.89,kWh
11/18/2024,8:00 PM,0.495,15.89,kWh
11/18/2024,9:00 PM,0.558,15.89,kWh
11/18/2024,10:00 PM,0.409,15.89,kWh
11/18/2024,11:00 PM,0.642,15.89,kWh
11/19/2024,12:00 AM,0.431,14.192,kWh
11/19/2024,1:00 AM,0.46,14.192,kWh
11/19/2024,2:00 AM,0.611,14.192,kWh
11/19/2024,3:00 AM,0.441,14.192,kWh
11/19/2024,4:00 AM,0.61,14.192,kWh
11/19/2024,5:00 AM,0.574,14.192,kWh
11/19/2024,6:00 AM,0.631,14.192,kWh
11/19/2024,7:00 AM,0.602,14.192,kWh
11/19/2024,8:00 AM,0.432,14.192,kWh
11/19/2024,9:00 AM,0.768,14.192,kWh
11/19/2024,10:00 AM,0.523,14.192,kWh
11/19/2024,11:00 AM,0.5,14.192,kWh
11/19/2024,12:00 PM,0.644,14.192,kWh
11/19/2024,1:00 PM,1.133,14.192,kWh
11/19/2024,2:00 PM,1.069,14.192,kWh
11/19/2024,3:00 PM,0.389,14.192,kWh
11/19/2024,4:00 PM,0.453,14.192,kWh
11/19/2024,5:00 PM,0.718,14.192,kWh
11/19/2024,6:00 PM,0.788,14.192,kWh
11/19/2024,7:00 PM,0.514,14.192,kWh
11/19/2024,8:00 PM,0.467,14.192,kWh
11/19/2024,9:00 PM,0.438,14.192,kWh
11/19/2024,10:00 PM,0.564,14.192,kWh
11/19/2024,11:00 PM,0.432,14.192,kWh
11/20/2024,12:00 AM,0.657,26.781,kWh
11/20/2024,1:00 AM,0.416,26.781,kWh
11/20/2024,2:00 AM,0.642,26.781,kWh
11/20/2024,3:00 AM,0.566,26.781,kWh
11/20/2024,4:00 AM,0.675,26.781,kWh
11/20/2024,5:00 AM,0.711,26.781,kWh
11/20/2024,6:00 AM,0.621,26.781,kWh
11/20/2024,7:00 AM,1.485,26.781,kWh
11/20/2024,8:00 AM,0.58,26.781,kWh
11/20/2024,9:00 AM,0.709,26.781,kWh
11/20/2024,10:00 AM,1.855,26.781,kWh
11/20/2024,11:00 AM,1.368,26.781,kWh
